result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.37,3.2,3.1,1,5,4,6,10,125,37,106,39,6,0,4,13,9,105,41,114,29
H,1.3,5.5,9.0,4,4,2,18,16,172,64,117,53,2,1,7,8,25,109,35,153,53
H,3.5,3.25,2.1,2,2,6,9,18,99,31,138,54,5,3,2,14,8,164,53,113,35
H,1.95,3.4,3.9,7,3,0,19,5,134,59,125,40,3,5,2,15,15,149,46,86,37
H,2.55,3.6,2.5,2,2,6,11,24,114,36,146,53,2,2,6,9,21,122,42,131,52
H,1.8,3.75,4.2,4,4,2,13,9,112,45,88,44,6,2,2,19,12,102,58,66,32
H,1.22,5.75,13.0,3,5,2,14,10,117,43,76,43,4,1,5,16,13,78,42,89,47
H,1.18,7.0,13.0,7,1,2,25,9,101,54,85,41,3,1,6,8,16,69,28,83,39
H,5.0,3.6,1.7,2,4,4,10,13,101,40,129,41,9,0,1,24,9,115,47,84,32
H,3.5,3.4,2.05,2,4,4,8,16,102,36,128,48,3,5,2,15,14,146,46,120,38
H,1.45,4.75,6.0,3,5,2,16,14,145,46,91,36,4,1,5,19,18,139,52,119,47
H,2.0,3.39,3.75,4,2,4,14,15,67,41,95,48,2,3,5,9,14,80,46,83,46
H,2.2,3.25,3.3,3,3,4,11,9,89,39,78,24,3,2,5,13,16,100,45,90,44
H,1.53,3.8,6.5,4,3,3,19,14,135,50,119,41,2,6,2,11,11,139,40,75,31
H,1.4,5.0,6.5,8,0,2,23,8,127,56,82,38,2,3,5,10,17,78,41,110,45
H,2.29,3.29,3.1,0,4,6,6,19,53,25,102,51,2,4,4,11,14,69,31,108,53
H,1.12,9.0,17.0,8,1,1,25,6,112,62,65,29,3,3,4,11,13,91,44,77,34
H,1.8,3.75,4.2,6,1,3,23,7,120,63,68,26,6,2,2,15,9,89,55,94,37
H,2.37,3.3,2.9,2,3,5,9,14,118,46,98,32,2,4,4,13,20,145,39,126,56
H,1.57,3.8,6.0,4,4,2,11,9,102,28,121,34,4,3,3,8,7,87,34,136,33
H,1.95,3.29,4.0,3,4,3,11,11,70,37,86,40,4,2,4,14,16,88,50,98,53
H,1.9,3.5,3.89,2,2,6,8,15,98,37,96,52,1,0,9,8,20,94,42,80,46
H,1.9,3.6,3.75,4,1,5,17,15,77,42,100,51,2,3,5,13,18,58,30,87,43
H,1.28,5.75,8.5,5,4,1,18,8,138,59,73,41,4,2,4,16,17,92,53,104,48
H,3.0,3.2,2.4,1,3,6,7,14,114,39,145,46,4,4,2,14,8,135,57,100,38
H,2.0,3.29,3.79,5,2,3,18,16,90,47,103,43,3,2,5,10,13,99,40,87,44
H,2.1,3.25,3.5,3,5,2,13,9,85,41,79,31,4,4,2,13,11,77,46,104,43
H,1.72,3.6,4.75,2,5,3,14,17,147,45,131,43,2,1,7,8,12,116,30,106,42
H,1.33,5.75,7.5,4,3,3,16,13,82,38,107,57,1,0,9,5,33,71,31,122,71
H,3.25,3.5,2.1,1,3,6,7,22,108,33,144,50,5,3,2,17,10,140,59,96,38
H,2.9,3.25,2.4,2,2,6,11,19,115,44,131,45,5,0,5,12,12,98,39,104,28
H,1.65,3.75,5.25,6,3,1,17,10,152,49,134,47,3,1,6,11,17,100,33,145,54
H,1.83,4.0,3.75,5,1,4,20,15,124,60,117,49,6,0,4,23,20,130,52,155,63
H,2.2,3.39,3.2,4,2,4,18,17,87,37,122,60,1,2,7,6,16,66,33,92,55
H,1.4,4.5,7.5,7,1,2,20,10,112,48,89,31,3,2,5,13,19,86,45,109,50
H,1.25,5.75,11.0,9,0,1,18,6,103,50,69,27,3,3,4,14,15,103,52,69,37
H,1.5,4.2,6.25,4,3,3,19,16,156,59,126,58,2,2,6,9,14,115,40,144,44
H,4.75,3.5,1.75,2,3,5,11,15,103,52,83,34,8,1,1,24,8,121,58,90,40
H,1.28,5.5,10.0,4,3,3,15,12,81,43,95,41,1,1,8,5,33,75,32,123,70
H,2.37,3.2,3.0,2,1,7,8,13,109,30,107,42,3,4,3,12,8,134,55,87,34
H,4.0,3.6,1.85,2,1,7,10,19,98,53,85,52,6,2,2,19,7,116,74,81,35
H,2.3,3.1,3.3,5,1,4,12,10,93,36,134,48,3,3,4,9,11,111,39,104,31
H,2.2,3.1,3.5,5,2,3,11,12,79,42,81,43,3,5,2,12,8,83,43,82,37
H,2.1,3.9,3.0,2,3,5,11,18,73,37,108,46,3,4,3,17,15,103,49,86,39
H,1.28,5.5,9.5,6,2,2,21,9,102,46,74,35,5,2,3,14,14,102,45,70,35
H,1.7,3.6,5.0,5,0,5,12,12,103,39,107,30,1,5,4,12,15,95,36,149,54
H,4.2,3.75,1.8,6,0,4,21,17,101,46,128,64,8,1,1,19,8,94,44,79,33
H,1.22,6.0,13.0,7,2,1,23,6,132,65,68,34,4,2,4,13,14,81,41,72,38
H,1.55,4.33,5.25,9,0,1,22,8,110,49,72,28,7,0,3,23,16,109,47,149,60
H,2.0,3.6,3.5,3,1,6,15,17,78,40,91,46,4,1,5,20,19,88,46,96,53
H,1.57,4.0,5.5,6,2,2,16,11,148,52,138,51,1,3,6,9,19,91,32,132,52
H,3.5,3.4,2.04,3,2,5,12,18,94,37,113,37,2,5,3,10,13,143,41,146,46
H,1.85,3.4,4.33,4,3,3,14,14,153,52,112,50,3,4,3,12,9,113,34,108,35
H,1.85,3.6,4.0,4,5,1,14,11,140,51,172,47,3,4,3,15,15,87,32,121,46
H,1.08,10.0,23.0,5,1,4,22,18,108,61,105,54,0,0,10,4,31,73,28,112,62
H,2.2,3.1,3.5,5,1,4,10,12,98,39,126,35,5,0,5,13,12,115,45,116,34
H,3.0,3.3,2.35,4,3,3,11,9,122,41,120,42,4,4,2,19,11,126,53,119,48
H,3.4,3.75,2.0,1,1,8,5,25,105,32,161,58,3,1,6,15,18,159,51,158,49
H,1.22,6.0,12.0,6,3,1,19,10,96,47,74,34,1,0,9,7,20,94,39,84,49
H,2.0,3.3,3.75,2,5,3,7,8,122,38,105,36,6,1,3,13,13,98,43,140,43
H,1.1,9.0,21.0,5,4,1,19,9,139,67,73,43,1,1,8,4,19,84,33,94,54
H,2.3,3.4,3.0,2,4,4,11,14,117,31,99,33,6,2,2,18,11,152,50,118,38
H,1.75,3.75,4.33,4,3,3,17,12,133,47,105,41,4,3,3,13,14,126,38,116,36
H,2.87,3.1,2.54,2,3,5,11,18,82,38,103,56,4,4,2,12,10,76,41,81,34
H,1.95,3.5,3.7,4,2,4,23,19,100,51,101,51,3,2,5,13,18,74,28,91,41
D,1.9,3.39,4.0,4,2,4,15,14,89,52,65,34,3,4,3,16,14,96,45,82,36
D,2.87,3.2,2.5,3,1,6,9,20,104,34,162,62,1,5,4,6,14,120,32,65,37
D,1.95,3.5,3.75,1,4,5,11,16,82,27,166,58,5,0,5,11,12,102,36,135,43
D,4.5,3.75,1.72,5,4,1,16,10,98,47,68,32,4,4,2,15,9,119,48,81,43
D,3.7,3.6,1.95,2,1,7,13,21,90,42,78,44,4,4,2,20,15,91,40,71,37
D,2.29,3.1,3.29,3,4,3,15,13,100,50,87,38,2,4,4,11,14,63,32,109,57
D,3.2,3.4,2.2,2,4,4,15,22,134,39,122,58,4,2,4,11,13,133,43,108,47
D,2.0,3.3,3.8,4,3,3,12,11,134,46,88,28,5,3,2,19,11,115,38,130,45
D,1.95,3.6,3.6,2,2,6,11,16,100,26,119,48,1,1,8,10,25,140,46,134,59
D,4.33,3.5,1.83,1,0,9,5,18,89,38,87,49,6,2,2,18,14,93,47,81,39
D,2.37,3.1,3.1,2,4,4,12,17,153,38,120,50,3,4,3,15,14,119,46,104,46
D,2.0,3.5,3.6,3,4,3,14,13,130,38,119,37,7,1,2,17,11,153,54,134,49
D,2.3,3.3,3.1,1,5,4,12,16,103,34,174,62,3,1,6,9,11,101,31,102,35
D,1.75,3.5,4.75,2,5,3,12,15,156,36,120,43,1,4,5,10,15,82,25,152,55
D,3.3,3.6,2.05,1,1,8,10,25,142,41,145,57,5,2,3,19,14,164,61,119,52
D,2.04,3.6,3.29,3,1,6,14,17,96,51,82,51,3,3,4,10,15,72,44,111,60
D,2.79,3.2,2.5,5,3,2,17,13,88,40,87,41,3,3,4,19,23,95,42,96,45
D,5.25,4.0,1.6,1,2,7,7,15,84,29,88,32,8,0,2,28,12,142,65,90,43
D,2.37,3.25,3.0,4,3,3,13,10,107,41,140,47,1,5,4,8,12,79,32,124,38
D,2.55,3.3,2.7,4,1,5,14,23,124,45,165,63,3,2,5,12,13,133,46,146,46
D,1.57,3.75,6.0,0,6,4,5,11,108,30,127,40,5,1,4,13,18,120,42,147,50
D,2.6,3.2,2.75,3,2,5,12,18,91,34,123,42,3,4,3,13,13,107,28,119,41
D,2.0,3.39,3.75,0,4,6,9,21,49,26,102,53,3,2,5,11,19,93,49,106,55
D,3.4,3.3,2.14,1,4,5,9,14,89,33,101,38,8,1,1,24,8,123,52,87,27
D,2.2,3.29,3.29,4,1,5,19,18,95,53,94,52,5,1,4,14,17,83,43,102,52
D,2.1,3.25,3.6,3,2,5,14,19,77,42,86,41,3,2,5,15,20,88,45,102,48
D,2.4,3.4,2.87,7,0,3,20,12,123,49,106,49,7,1,2,23,13,144,61,92,43
D,1.85,3.8,3.8,4,3,3,15,10,128,45,109,37,5,3,2,17,13,160,53,103,45
D,2.0,3.1,4.2,4,4,2,11,9,80,30,127,33,2,1,7,10,16,103,27,114,45
D,1.9,3.39,4.0,3,1,6,10,19,89,49,95,42,3,1,6,15,21,82,44,90,46
D,4.75,4.2,1.61,3,3,4,13,12,70,32,100,45,6,3,1,19,8,137,63,73,41
D,1.61,3.8,5.5,1,3,6,6,15,138,34,93,40,2,1,7,10,16,135,53,147,52
D,2.25,3.5,3.0,3,2,5,16,19,84,32,104,54,5,1,4,20,13,75,37,95,43
D,1.75,3.5,4.75,3,2,5,13,18,78,38,91,44,3,2,5,12,16,74,30,89,43
D,1.9,3.6,3.75,4,3,3,15,9,77,33,107,44,2,3,5,13,19,75,40,83,40
D,2.29,3.29,3.1,3,1,6,10,13,81,36,96,52,3,3,4,13,18,87,51,87,36
D,2.14,3.39,3.29,3,2,5,14,18,87,45,99,57,2,3,5,12,17,93,45,108,54
D,5.0,3.6,1.7,0,6,4,6,12,80,29,131,42,7,3,0,25,8,148,53,114,44
D,1.75,3.5,4.75,3,2,5,14,17,91,46,110,55,3,2,5,12,18,87,44,92,53
D,1.75,3.8,4.33,6,3,1,22,12,140,59,112,39,2,5,3,12,14,142,41,110,39
D,2.54,3.25,2.75,4,2,4,12,13,82,44,74,39,4,1,5,14,13,107,56,57,34
D,5.0,3.6,1.7,3,2,5,10,18,107,36,148,52,4,4,2,16,13,146,46,96,35
D,2.6,3.29,2.62,3,2,5,13,17,83,45,80,39,4,2,4,15,15,74,41,99,46
D,3.3,3.5,2.1,2,3,5,10,19,133,46,126,52,6,2,2,17,12,149,51,137,49
D,1.33,5.25,8.0,7,2,1,21,7,121,48,97,29,4,3,3,9,8,102,35,109,43
D,1.9,3.6,3.79,4,1,5,14,16,74,41,102,48,3,3,4,10,18,76,43,118,66
D,1.83,3.4,4.5,4,2,4,15,12,129,45,130,47,3,2,5,12,18,109,40,115,38
D,2.8,3.2,2.6,2,2,6,11,20,82,32,134,51,6,1,3,16,11,141,55,87,31
D,1.72,3.8,4.5,2,4,4,10,14,137,42,150,54,5,1,4,21,16,169,62,149,49
D,2.45,3.2,2.89,5,2,3,15,15,98,46,74,39,3,3,4,13,11,67,35,97,50
D,1.83,3.4,4.5,5,4,1,12,7,94,30,129,32,5,3,2,19,12,87,35,127,46
D,2.5,3.25,2.79,4,2,4,14,16,76,45,110,43,4,4,2,14,12,95,50,76,33
D,4.0,3.6,1.85,2,2,6,8,14,101,39,90,50,6,3,1,19,9,96,49,73,35
D,1.36,4.75,8.5,7,2,1,18,5,159,54,127,38,7,1,2,20,12,135,51,138,40
D,3.75,3.5,1.95,1,4,5,13,17,122,37,115,41,6,3,1,23,9,140,59,136,46
D,3.2,3.4,2.2,5,1,4,14,17,81,38,136,48,5,2,3,20,11,131,55,117,46
D,1.44,4.75,6.0,7,1,2,16,10,86,49,89,40,5,1,4,14,14,71,47,92,49
D,1.75,3.5,4.75,3,4,3,12,14,134,45,155,51,3,2,5,8,14,83,30,137,40
D,2.1,3.2,3.6,2,4,4,9,12,83,33,130,38,3,1,6,15,19,132,47,119,51
D,4.0,3.29,1.95,2,3,5,10,14,101,44,95,55,8,1,1,25,6,113,68,71,35
D,5.5,4.0,1.57,3,2,5,13,17,75,32,91,44,5,3,2,15,10,117,48,83,43
D,2.75,3.4,2.45,4,3,3,12,14,120,46,133,51,5,2,3,14,12,145,56,95,34
D,3.75,3.4,2.0,2,2,6,8,11,109,34,94,37,6,3,1,10,4,129,45,105,25
D,1.44,4.33,7.0,6,4,0,20,10,101,55,67,31,3,3,4,12,13,79,37,76,36
D,2.0,3.5,3.6,5,2,3,12,15,87,45,101,50,1,3,6,14,21,56,30,98,53
D,3.3,3.25,2.2,3,3,4,11,9,128,48,94,38,4,4,2,20,11,140,48,141,44
