result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.91,3.4,4.0,5,2,3,10,8,110,40,130,33,5,2,3,11,9,102,34,139,39
H,1.53,3.5,7.0,5,4,1,15,5,110,56,100,42,2,2,6,12,19,76,41,124,62
H,1.44,4.2,7.5,6,4,0,20,5,217,73,94,30,5,0,5,16,16,161,51,125,50
H,2.0,2.87,4.33,2,3,5,11,19,130,59,108,48,1,5,4,10,16,91,41,147,67
H,1.22,6.0,12.0,10,0,0,25,2,145,63,118,24,1,2,7,9,19,137,41,130,51
H,3.2,3.3,2.3,5,5,0,17,8,130,47,145,33,7,0,3,18,12,127,46,109,30
H,2.1,3.25,3.6,2,4,4,10,15,124,42,177,54,4,1,5,7,11,109,32,143,46
H,1.44,4.33,8.0,5,2,3,20,11,175,49,90,26,3,2,5,11,12,122,34,140,36
H,1.17,7.5,17.0,7,1,2,26,15,172,61,130,45,2,1,7,8,20,143,39,137,56
H,3.1,3.25,2.4,1,2,7,12,30,127,35,204,68,5,2,3,16,14,100,33,142,46
H,2.3,2.9,3.5,4,4,2,17,13,130,53,96,38,2,6,2,8,10,116,37,115,50
H,1.44,4.5,7.5,6,2,2,22,9,185,55,74,23,4,3,3,12,12,117,36,122,39
H,1.5,4.2,7.0,5,3,2,16,12,180,61,118,43,3,2,5,11,17,123,35,138,52
H,4.75,3.4,1.83,4,3,3,17,15,164,67,113,49,8,0,2,22,9,136,51,91,26
H,2.15,2.9,3.8,5,2,3,15,14,133,47,139,45,3,3,4,14,18,119,45,126,41
H,2.6,3.0,2.87,3,2,5,9,12,132,43,138,44,3,5,2,15,12,136,44,129,50
H,2.45,3.0,3.1,5,2,3,15,11,121,36,157,54,5,1,4,13,13,151,47,118,53
H,4.0,3.3,1.95,3,0,7,10,15,118,43,147,41,4,4,2,17,8,158,54,122,47
H,2.38,3.25,3.1,1,4,5,11,19,114,36,148,59,2,1,7,6,19,83,21,142,51
H,2.2,3.2,3.4,4,3,3,15,15,124,43,139,43,3,2,5,14,15,132,36,112,39
H,1.2,6.0,15.0,8,1,1,18,4,191,62,73,20,2,0,8,14,21,109,32,124,42
H,2.5,2.9,3.1,4,2,4,16,15,115,46,169,57,5,3,2,12,7,140,43,167,45
H,1.53,3.7,7.0,6,2,2,17,12,147,50,147,38,5,0,5,13,10,119,41,112,44
H,2.9,3.1,2.6,2,0,8,6,15,92,28,138,47,5,2,3,13,11,117,36,139,55
H,5.25,3.7,1.7,2,1,7,6,17,86,30,119,64,5,3,2,10,7,103,49,77,34
H,2.25,3.2,3.4,5,2,3,15,11,122,39,95,30,4,3,3,13,11,152,49,125,40
H,1.4,4.5,9.0,8,0,2,22,8,172,62,78,27,8,1,1,17,4,140,55,102,30
H,1.85,3.5,4.5,2,2,6,9,17,108,32,139,46,1,4,5,9,17,129,40,169,58
H,1.8,3.25,5.0,5,3,2,14,10,180,49,143,32,5,2,3,12,9,142,46,127,37
H,1.5,4.0,7.0,7,0,3,17,10,136,56,129,40,3,2,5,11,14,111,30,157,52
H,3.25,3.3,2.2,2,2,6,6,14,119,37,103,41,1,4,5,6,15,140,41,137,58
H,8.0,4.75,1.4,0,2,8,8,31,104,33,154,66,5,3,2,17,12,181,67,103,39
H,3.3,3.2,2.25,1,4,5,7,17,122,27,135,50,4,3,3,12,12,124,38,109,33
H,2.05,3.3,3.8,4,1,5,12,13,136,43,135,41,3,4,3,12,11,114,38,157,51
H,2.0,3.3,3.8,1,4,5,9,18,143,36,127,42,1,6,3,15,19,120,41,135,50
H,1.44,4.33,8.0,2,3,5,10,13,108,41,159,50,2,2,6,14,23,103,34,142,54
H,1.36,5.0,8.5,4,3,3,13,15,153,50,149,40,0,3,7,11,20,114,35,162,56
H,2.6,3.3,2.75,5,2,3,17,10,95,58,91,48,5,2,3,15,9,96,55,70,32
H,1.44,4.33,7.0,4,3,3,14,13,148,59,95,40,4,2,4,14,11,143,47,128,29
H,1.8,3.5,4.5,4,6,0,15,5,201,63,101,32,5,4,1,20,11,142,53,117,34
H,2.2,3.2,3.4,2,2,6,11,13,130,38,135,55,2,5,3,11,11,147,56,133,51
H,2.35,3.3,3.0,3,2,5,11,10,145,44,115,27,4,3,3,18,12,153,53,100,42
H,3.1,3.3,2.3,3,6,1,18,13,112,44,141,49,6,2,2,25,14,161,69,94,33
H,5.25,3.79,1.66,2,1,7,10,20,69,23,227,84,4,4,2,16,9,134,49,109,30
H,2.3,3.2,3.3,2,4,4,12,17,94,46,174,76,2,2,6,11,14,120,51,129,63
H,1.61,4.33,5.0,8,1,1,16,5,151,55,78,28,5,2,3,25,14,157,58,116,40
H,2.3,3.25,3.25,1,4,5,11,25,117,42,124,50,3,6,1,13,11,132,50,117,32
H,3.5,3.3,2.1,6,3,1,20,9,133,48,138,36,7,2,1,18,10,185,69,90,33
H,2.4,3.1,3.1,1,3,6,8,13,140,47,126,49,5,5,0,14,6,133,44,114,37
H,2.25,2.87,3.5,1,2,7,14,27,92,47,133,66,4,1,5,13,14,92,48,86,43
H,1.25,6.25,12.0,5,3,2,24,14,144,52,136,48,1,4,5,7,17,112,40,179,64
H,1.8,3.4,4.5,4,1,5,11,13,154,44,129,57,2,3,5,10,16,115,37,121,43
H,1.95,3.3,4.0,2,3,5,15,20,101,32,156,52,2,3,5,8,11,122,32,122,45
H,1.25,6.0,10.0,9,0,1,22,5,143,61,111,36,3,3,4,9,10,113,48,159,51
H,1.5,4.0,7.0,5,3,2,21,13,191,72,101,38,1,3,6,9,21,130,35,117,52
H,2.3,3.0,3.4,0,6,4,7,16,68,30,124,58,1,6,3,9,15,90,43,149,69
H,1.44,4.1,8.0,6,1,3,19,12,160,52,117,45,2,3,5,13,19,126,41,117,42
H,1.28,7.0,6.5,3,6,1,16,11,81,44,116,52,6,3,1,20,10,124,55,99,45
H,2.0,2.3,6.0,1,3,6,13,21,107,34,164,56,1,6,3,13,16,128,43,155,50
H,2.6,3.2,2.8,4,2,4,17,14,129,50,162,49,3,3,4,17,18,121,37,113,46
H,2.2,3.3,3.3,4,3,3,19,17,128,50,167,57,3,3,4,12,12,141,45,146,56
H,1.57,3.8,6.0,1,3,6,8,18,161,48,106,46,2,4,4,12,17,133,41,152,52
H,1.91,3.25,4.2,2,3,5,5,13,89,22,136,40,2,5,3,6,8,104,35,112,42
H,1.25,6.5,10.0,8,2,0,26,7,166,58,106,29,5,3,2,16,14,174,65,111,41
H,1.17,7.0,15.0,9,0,1,15,4,120,39,117,33,6,1,3,15,10,121,47,154,51
H,1.9,3.5,4.2,4,2,4,14,11,134,56,145,53,4,3,3,13,12,108,32,143,48
H,1.25,6.0,12.0,6,3,1,13,6,160,57,83,24,5,1,4,22,15,129,52,153,55
H,1.73,3.25,5.5,3,6,1,9,7,105,38,152,48,1,2,7,7,15,116,34,135,46
H,1.91,3.4,4.0,2,5,3,14,14,132,42,116,47,1,2,7,10,19,133,42,137,58
H,2.2,3.1,3.5,5,3,2,16,12,117,42,111,35,4,3,3,16,15,140,55,166,58
H,2.0,3.2,4.0,4,2,4,10,14,110,34,178,58,2,4,4,9,13,84,20,127,46
H,1.4,4.5,9.0,8,1,1,20,4,135,51,97,29,5,2,3,13,10,152,51,134,51
H,2.1,2.8,4.0,2,4,4,8,13,108,56,114,54,2,4,4,12,15,94,42,144,66
H,1.22,5.5,11.0,5,3,2,16,11,127,43,156,44,1,6,3,12,13,127,48,131,47
H,1.53,3.4,6.0,3,2,5,11,14,99,39,92,41,2,2,6,11,19,93,41,91,52
H,2.8,3.1,2.7,2,3,5,12,19,67,33,142,65,3,5,2,10,8,100,50,87,56
H,2.5,3.2,2.88,3,2,5,13,17,102,30,178,60,4,1,5,10,10,129,47,146,50
