result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.5,4.0,7.0,5,5,0,16,9,145,46,88,33,4,2,4,13,14,126,49,118,46
H,3.0,2.87,2.3,2,2,6,7,15,78,27,77,43,2,3,5,12,13,100,45,102,50
H,1.61,3.4,6.0,3,7,0,11,8,123,54,91,38,3,2,5,7,10,93,38,92,44
H,1.8,3.3,5.0,4,1,5,10,15,144,48,142,50,1,3,6,7,18,121,42,106,44
H,2.15,3.4,3.4,5,2,3,15,12,136,40,137,45,5,2,3,16,9,129,49,139,35
H,1.57,3.6,6.5,4,3,3,11,11,129,46,137,48,2,2,6,6,13,118,40,159,61
H,1.13,8.5,23.0,8,1,1,29,11,134,69,117,32,3,2,5,8,10,70,29,113,38
H,1.73,3.2,5.75,4,4,2,14,11,117,40,157,51,3,2,5,7,15,110,33,133,48
H,1.62,3.75,5.5,5,5,0,19,6,109,52,108,34,9,0,1,24,5,155,64,99,33
H,1.83,3.1,4.75,3,6,1,13,9,115,49,96,34,1,5,4,7,13,94,44,70,36
H,1.8,3.3,4.75,2,0,8,8,14,105,32,100,43,2,2,6,11,15,100,31,134,41
H,1.44,4.0,8.0,4,3,3,15,11,141,41,130,55,4,3,3,9,7,135,46,122,39
H,2.1,3.2,3.75,4,5,1,8,5,113,43,113,36,6,0,4,16,11,147,52,121,48
H,2.1,3.1,3.75,4,1,5,12,16,117,38,130,50,5,1,4,13,14,121,39,141,48
H,1.95,3.5,4.0,3,2,5,15,16,102,38,112,37,5,1,4,15,13,132,44,121,39
H,2.5,2.9,3.1,3,1,6,9,15,150,44,115,41,4,2,4,18,14,128,45,154,56
H,3.75,3.2,2.05,3,4,3,9,9,132,38,114,41,7,2,1,17,7,132,48,98,33
H,1.57,3.6,6.5,5,1,4,13,12,122,40,103,36,1,4,5,9,16,99,39,143,58
H,3.6,3.4,2.05,5,2,3,17,13,144,54,115,44,7,1,2,27,13,187,74,104,33
H,1.16,8.0,15.0,10,0,0,36,6,145,68,115,35,7,1,2,17,7,134,54,91,32
H,1.8,3.5,4.75,4,4,2,14,15,137,47,138,49,2,5,3,6,10,99,28,112,44
H,2.5,3.1,3.1,2,4,4,12,16,124,39,140,51,3,3,4,6,11,105,32,117,45
