result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.1,3.3,3.6,3,2,5,10,16,100,63,150,96,1,4,5,4,13,98,50,138,75
H,1.91,3.4,4.2,2,1,7,10,16,161,91,99,51,3,2,5,17,26,106,65,128,78
H,1.67,3.6,5.5,6,2,2,17,9,126,76,103,50,1,4,5,9,15,93,52,136,71
H,1.2,6.0,17.0,6,2,2,18,7,187,100,84,47,2,4,4,11,18,112,57,129,72
H,1.62,3.75,6.0,6,2,2,19,9,178,96,88,51,5,3,2,17,9,129,71,115,65
H,3.25,3.3,2.25,0,2,8,5,25,129,60,127,82,2,3,5,12,13,127,69,111,63
H,2.0,3.4,3.8,5,2,3,18,16,155,87,126,66,4,2,4,14,13,127,66,105,56
H,1.29,6.0,12.0,8,1,1,20,9,141,65,118,40,4,1,5,13,13,106,37,137,45
H,1.57,3.75,6.5,3,1,6,10,13,140,76,92,54,3,4,3,12,11,110,59,137,73
H,2.1,3.2,3.5,4,2,4,16,18,93,50,141,71,3,0,7,10,13,102,48,132,75
H,1.72,3.8,4.75,5,3,2,14,5,136,48,94,26,3,1,6,12,20,106,41,133,53
H,3.0,3.25,2.4,6,0,4,25,14,186,105,92,53,8,1,1,22,9,163,95,93,48
H,1.14,7.5,23.0,7,2,1,22,6,188,123,84,43,2,2,6,8,18,105,49,121,70
H,1.25,6.5,14.0,4,5,1,17,11,155,52,79,36,1,4,5,9,18,125,39,144,54
H,1.91,3.6,4.0,7,0,3,16,5,171,101,92,55,4,3,3,12,11,177,94,101,58
H,1.44,4.75,8.0,7,1,2,11,6,187,78,88,33,3,4,3,9,11,91,28,154,48
H,3.1,3.25,2.38,5,3,2,15,9,127,73,109,68,7,2,1,21,9,177,102,111,60
H,2.05,3.4,4.2,2,3,5,14,15,150,54,102,32,4,3,3,12,10,128,53,137,49
H,1.3,4.5,12.0,5,3,2,21,11,144,74,91,52,4,2,4,12,12,95,48,99,56
H,1.17,7.0,17.0,8,0,2,22,9,158,91,107,59,4,4,2,14,11,122,76,127,72
H,2.2,3.2,3.25,1,2,7,11,25,119,62,121,62,4,3,3,15,12,79,45,123,57
H,2.15,3.4,3.8,4,3,3,12,9,149,38,130,27,1,3,6,10,19,140,35,123,43
H,1.57,4.0,6.0,5,4,1,12,7,128,71,144,78,3,1,6,7,13,110,60,138,77
H,2.55,3.25,3.1,2,4,4,8,14,121,39,121,37,3,3,4,9,17,134,31,143,57
H,1.25,6.5,11.0,4,2,4,20,12,184,65,81,32,1,4,5,7,15,123,39,175,57
H,2.1,3.4,3.5,5,1,4,15,14,166,101,122,71,3,2,5,14,21,162,89,108,62
H,1.25,5.5,13.0,7,2,1,22,9,145,94,88,48,2,2,6,12,18,120,57,163,97
H,5.5,4.2,1.64,4,2,4,12,11,120,48,87,23,7,1,2,20,12,144,55,135,43
H,2.3,3.25,3.0,1,2,7,5,12,89,44,102,56,3,2,5,12,13,90,41,104,49
H,1.2,7.5,16.0,5,3,2,12,8,126,39,93,37,1,4,5,9,16,101,34,194,58
H,3.5,3.6,2.15,2,3,5,10,21,118,33,136,48,5,4,1,23,18,171,55,113,45
