result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.57,4.33,5.0,2,1,7,11,17,170,51,103,48,5,5,0,15,5,143,58,137,43
H,1.67,3.6,5.25,2,5,3,16,16,163,64,104,41,2,2,6,16,20,131,44,142,56
H,4.33,3.5,1.83,3,2,5,10,18,108,33,185,64,4,2,4,18,10,201,69,99,22
H,1.91,3.6,4.0,5,3,2,17,13,153,67,123,51,3,3,4,10,14,108,33,171,57
H,3.4,3.4,2.1,2,4,4,12,16,133,41,160,53,6,2,2,15,11,118,51,161,65
H,2.1,3.4,3.4,3,2,5,15,20,123,42,160,65,5,2,3,10,5,115,36,119,43
H,3.8,3.6,1.91,1,4,5,10,22,123,40,123,49,6,1,3,22,12,121,52,134,43
H,2.0,3.5,3.6,3,2,5,10,15,117,38,137,50,2,1,7,14,25,122,47,156,63
H,2.6,3.3,2.6,8,1,1,21,9,114,42,123,35,5,2,3,18,10,177,62,119,34
H,2.45,3.5,2.8,5,2,3,15,11,157,44,137,46,5,1,4,22,14,132,59,132,41
H,1.19,7.0,13.0,4,2,4,12,12,138,44,90,30,2,1,7,10,18,114,39,157,58
H,4.33,3.39,1.9,0,4,6,5,18,98,29,127,47,7,1,2,14,6,105,45,118,37
H,1.28,5.5,11.0,8,2,0,31,12,138,58,112,42,3,5,2,15,15,128,48,157,58
H,1.44,4.5,6.5,7,1,2,20,11,138,52,146,47,0,6,4,9,20,117,47,170,65
H,2.75,3.29,2.6,1,4,5,6,20,117,39,169,56,4,3,3,13,15,120,40,121,38
H,2.2,3.25,3.25,6,2,2,16,7,169,64,115,33,4,1,5,12,15,173,63,122,51
H,2.75,3.0,2.7,3,4,3,12,13,127,39,104,35,5,2,3,16,12,147,44,141,53
H,2.14,3.4,3.4,1,2,7,7,26,113,36,151,57,1,2,7,9,18,111,42,142,50
H,1.57,3.6,6.0,6,1,3,18,13,179,93,110,45,5,1,4,16,15,167,83,141,82
H,1.2,7.5,12.0,6,2,2,25,17,160,63,80,38,3,1,6,13,21,161,57,140,59
H,1.36,4.75,8.0,4,4,2,17,11,135,44,106,32,5,2,3,14,10,111,36,136,46
H,2.0,3.5,3.6,2,4,4,12,17,139,49,141,55,3,6,1,12,10,123,35,141,46
H,2.0,3.4,3.75,4,3,3,14,14,128,40,95,36,2,2,6,12,19,110,40,151,48
H,1.8,4.2,4.0,6,3,1,19,10,132,53,87,37,7,1,2,21,8,163,73,124,39
H,1.91,3.4,4.0,2,3,5,11,10,190,59,111,27,6,3,1,24,15,148,55,136,43
H,1.17,7.0,15.0,8,1,1,24,4,179,78,71,23,4,1,5,19,18,111,42,128,56
H,2.3,3.4,3.0,2,3,5,12,20,125,45,143,56,4,2,4,13,11,139,44,114,43
H,6.5,4.33,1.5,7,2,1,22,9,167,67,121,44,9,1,0,26,2,193,78,58,24
H,1.85,3.5,4.2,2,4,4,11,11,138,48,119,33,2,2,6,10,19,117,38,159,63
H,2.38,3.4,2.88,7,1,2,20,11,107,50,174,55,2,3,5,14,16,176,49,112,46
H,3.1,3.4,2.25,6,2,2,14,12,122,46,158,64,4,3,3,15,14,147,58,98,35
H,3.0,3.5,2.3,5,1,4,19,12,110,44,149,49,4,4,2,13,9,117,36,115,35
H,3.3,3.6,2.15,4,1,5,16,18,118,44,169,64,5,3,2,15,12,142,53,101,42
H,2.4,3.4,2.8,2,2,6,11,18,135,46,139,51,1,5,4,14,17,132,48,132,52
H,2.25,3.25,3.2,7,1,2,25,11,162,72,123,37,4,4,2,14,9,142,52,116,41
H,1.5,4.33,6.5,7,2,1,25,14,129,61,148,50,2,3,5,9,16,117,33,147,42
H,2.88,3.1,2.63,1,4,5,11,16,106,39,167,62,5,4,1,15,7,97,41,113,36
H,2.2,3.5,3.2,3,2,5,13,17,106,40,165,57,2,4,4,11,16,112,43,126,51
H,1.53,4.0,6.0,4,1,5,15,17,122,43,125,43,4,2,4,10,15,122,36,138,50
H,9.0,4.5,1.36,2,3,5,13,16,92,41,162,51,6,4,0,13,4,171,52,95,25
H,2.38,3.4,3.0,4,1,5,16,23,118,53,144,54,3,1,6,13,21,93,34,136,54
H,1.5,4.2,7.0,7,2,1,21,8,168,68,118,41,4,1,5,14,18,94,36,153,48
H,1.83,3.5,4.5,3,5,2,12,10,119,43,151,51,4,1,5,12,20,98,35,157,65
H,1.3,5.0,11.0,8,2,0,23,6,161,63,87,26,2,6,2,15,11,128,47,93,31
H,1.75,3.5,4.75,5,5,0,18,7,151,53,74,21,1,4,5,6,11,153,49,104,35
H,2.35,3.2,3.2,3,3,4,17,16,88,33,139,53,2,2,6,4,15,106,33,107,42
H,1.83,3.4,4.0,4,3,3,16,14,159,62,107,44,5,3,2,20,11,143,45,105,37
H,1.1,10.0,26.0,8,1,1,28,6,169,71,65,24,2,4,4,8,12,111,34,133,44
H,1.5,4.5,5.75,8,1,1,23,12,133,49,100,40,7,1,2,23,7,143,51,133,44
H,1.91,3.8,3.8,2,6,2,8,9,150,48,122,43,2,3,5,10,17,125,47,144,64
H,1.83,3.5,4.33,5,2,3,19,14,157,57,128,46,5,3,2,18,11,156,51,126,42
H,3.5,3.6,2.0,3,3,4,17,21,145,48,107,42,6,2,2,25,13,163,71,103,36
H,2.9,3.3,2.4,3,5,2,12,14,100,40,165,61,2,2,6,10,16,134,31,105,43
H,2.5,3.25,2.8,2,3,5,14,16,94,39,158,47,3,4,3,9,9,131,45,135,38
H,1.2,7.5,12.0,5,3,2,16,12,137,45,109,34,6,2,2,28,17,108,49,125,52
H,2.4,3.2,2.87,1,4,5,12,24,138,73,130,82,6,2,2,20,12,135,70,99,57
H,1.62,3.75,6.0,6,1,3,19,13,138,53,123,56,4,2,4,11,15,95,34,128,47
H,2.25,3.25,3.2,4,2,4,15,14,122,44,118,46,6,2,2,21,15,142,48,160,49
H,2.3,3.2,3.2,2,4,4,12,15,106,41,143,63,1,4,5,5,15,94,32,139,52
H,3.2,3.25,2.25,3,2,5,16,15,105,32,144,56,4,1,5,11,17,114,45,150,59
H,1.65,4.0,4.75,4,4,2,15,11,135,46,145,54,1,2,7,8,21,133,36,163,66
H,2.2,3.3,3.25,2,1,7,13,18,159,49,140,56,3,1,6,11,16,128,42,168,52
H,1.91,3.6,3.8,4,3,3,20,18,171,68,118,54,4,2,4,10,13,167,49,145,47
H,2.15,3.5,3.3,5,0,5,14,12,119,43,170,57,2,2,6,9,17,109,34,124,40
H,2.4,3.3,2.88,3,5,2,12,12,117,44,129,48,2,3,5,7,18,128,47,129,57
H,4.0,3.4,1.91,2,3,5,9,17,113,38,143,54,6,2,2,17,7,156,60,92,28
H,2.5,3.4,2.8,4,1,5,11,14,111,35,150,42,3,6,1,18,9,116,38,136,37
H,1.91,3.5,4.0,5,2,3,14,14,123,48,154,52,3,2,5,17,19,148,48,143,58
H,1.75,3.6,5.0,5,5,0,15,8,123,34,124,41,6,2,2,17,12,111,40,118,38
H,2.1,3.4,3.4,4,1,5,14,20,139,44,115,50,6,0,4,13,17,100,41,144,48
H,2.1,3.5,3.3,2,4,4,12,15,126,44,102,42,4,2,4,14,18,119,45,113,50
H,1.33,5.0,9.0,7,1,2,20,9,169,65,80,26,2,4,4,10,11,159,50,121,43
H,1.44,4.33,7.0,5,1,4,15,14,123,46,116,31,4,3,3,12,17,104,38,146,49
H,1.62,4.2,5.25,4,1,5,19,12,134,56,117,42,6,2,2,17,15,125,52,161,65
H,1.67,3.75,5.5,4,3,3,17,13,131,44,92,35,2,4,4,12,13,100,37,159,57
H,1.5,4.0,6.5,7,1,2,16,12,113,47,193,59,1,1,8,8,19,143,42,157,56
H,2.1,3.4,3.4,4,1,5,18,17,102,41,171,52,2,2,6,17,18,129,56,144,51
H,1.57,4.2,5.25,6,2,2,23,16,172,54,103,42,6,1,3,14,11,160,56,157,51
H,1.85,3.6,4.33,3,1,6,11,17,102,30,155,51,3,3,4,12,19,115,39,139,44
H,6.5,4.33,1.5,3,2,5,15,23,124,57,137,52,2,2,6,8,13,166,48,88,39
H,1.83,3.5,4.5,5,2,3,15,9,117,36,131,42,3,1,6,11,17,85,29,140,48
H,1.53,4.0,6.0,4,2,4,14,9,189,67,139,52,2,3,5,10,22,103,28,175,62
H,1.22,6.0,13.0,10,0,0,33,6,155,67,87,26,4,5,1,15,12,100,46,126,50
H,1.53,4.33,5.5,4,2,4,10,13,169,46,153,53,3,2,5,13,16,133,50,160,59
H,1.4,4.5,8.0,5,2,3,23,19,123,51,130,55,2,3,5,7,17,106,33,161,70
H,1.39,5.0,7.5,5,4,1,19,13,147,52,118,38,2,4,4,14,18,139,52,128,49
H,1.5,4.33,6.5,4,4,2,24,15,146,57,106,41,1,4,5,8,18,103,33,125,49
H,1.44,4.75,7.0,5,4,1,19,10,163,59,142,37,3,3,4,12,13,103,36,126,54
H,2.4,3.4,2.8,4,2,4,11,13,112,45,167,57,5,1,4,14,12,105,32,129,49
H,1.33,5.0,9.0,8,1,1,33,5,182,85,65,20,5,2,3,11,11,141,50,112,35
H,2.5,3.25,2.8,1,3,6,14,20,161,58,158,66,3,3,4,13,15,145,55,194,54
H,1.6,4.0,5.75,4,6,0,21,11,124,48,120,37,2,5,3,16,20,134,49,158,51
H,2.3,3.4,3.1,0,2,8,10,28,109,36,156,74,2,2,6,11,15,134,43,106,40
H,2.6,3.3,2.63,4,3,3,14,18,135,48,123,53,2,4,4,13,15,122,52,176,65
H,1.55,3.8,7.0,5,3,2,10,7,95,31,111,35,0,1,9,4,21,96,23,147,47
H,2.25,3.5,3.0,3,3,4,9,15,110,34,185,64,4,1,5,12,16,137,48,140,49
H,2.3,3.3,3.2,4,2,4,9,9,111,35,135,53,3,3,4,16,17,126,48,136,53
H,2.4,3.3,2.88,0,2,8,5,17,87,22,163,60,4,2,4,8,11,84,32,162,50
H,1.22,6.0,12.0,5,3,2,16,11,119,48,125,48,3,1,6,12,22,103,33,138,58
H,1.61,3.75,6.0,1,8,1,13,13,111,39,122,50,1,4,5,6,21,112,34,183,60
H,1.3,5.5,10.0,4,3,3,18,11,122,56,111,44,1,2,7,7,21,123,38,147,53
H,2.8,3.2,2.55,2,2,6,11,25,110,35,148,57,3,2,5,14,18,79,26,144,53
H,1.3,5.25,9.5,5,3,2,23,13,162,72,102,35,5,1,4,21,17,96,43,165,73
H,1.8,3.75,4.2,8,1,1,22,8,166,61,119,34,4,4,2,20,13,150,54,106,45
H,2.2,3.3,3.4,3,3,4,15,15,128,44,141,50,6,1,3,17,11,125,42,117,34
H,2.05,3.6,3.5,3,2,5,18,21,134,48,125,54,1,3,6,13,22,137,53,148,67
H,1.95,3.5,4.0,5,2,3,20,16,126,53,153,59,1,2,7,13,27,99,30,140,64
H,3.2,3.4,2.2,4,2,4,15,16,124,45,143,52,4,4,2,16,10,127,55,168,48
H,1.44,4.75,7.0,5,5,0,20,9,144,56,121,34,3,3,4,8,10,134,46,148,61
H,5.0,3.6,1.7,1,1,8,9,20,141,48,156,56,4,3,3,24,18,171,62,141,44
H,1.8,3.5,4.5,5,2,3,11,11,122,39,131,46,2,0,8,9,17,132,40,148,54
H,2.25,3.5,3.0,3,4,3,13,14,100,40,135,43,5,2,3,18,17,123,36,144,75
H,2.3,3.3,3.1,1,2,7,6,17,99,28,183,65,2,1,7,10,21,113,34,162,57
H,1.65,4.0,5.25,5,2,3,22,12,145,53,115,45,3,4,3,12,12,113,46,159,52
H,2.5,3.1,3.1,2,3,5,6,13,109,34,98,37,4,4,2,13,11,152,57,155,50
H,2.5,3.25,2.9,0,2,8,7,24,118,34,152,57,2,3,5,14,19,109,39,152,50
H,1.33,4.5,11.0,6,3,1,17,8,166,53,123,35,4,2,4,13,12,125,41,148,48
H,1.62,3.7,5.5,4,4,2,18,14,137,50,127,48,6,1,3,16,12,97,38,139,44
H,2.6,3.4,2.63,0,6,4,8,21,137,53,148,57,2,3,5,18,20,127,50,140,61
H,1.83,3.75,4.0,5,0,5,16,16,136,48,122,41,5,2,3,13,12,99,37,153,49
H,1.36,4.75,8.5,3,0,7,14,20,126,43,126,51,2,1,7,13,24,111,43,145,61
H,1.4,4.5,7.5,4,3,3,12,11,163,53,107,37,6,1,3,20,12,112,46,127,42
H,1.9,3.39,4.33,2,4,4,11,17,80,32,126,55,3,1,6,8,16,101,32,158,44
H,2.15,3.4,3.25,1,2,7,4,15,131,27,137,54,1,1,8,7,24,126,40,147,61
H,1.83,3.75,4.0,6,1,3,24,13,144,63,140,45,8,1,1,20,6,138,54,83,28
H,1.36,5.25,8.0,7,1,2,24,11,138,60,84,37,0,5,5,11,18,115,42,130,50
H,7.0,4.33,1.44,1,3,6,14,23,111,63,132,82,6,3,1,19,8,167,64,88,29
H,5.0,3.6,1.66,1,4,5,12,23,127,67,131,77,5,2,3,15,12,171,92,107,69
H,2.5,3.4,2.7,4,2,4,10,13,94,32,154,55,6,2,2,16,12,139,46,125,43
H,2.2,3.2,3.5,3,3,4,9,12,89,35,125,37,4,2,4,12,13,112,39,131,50
H,1.36,4.75,8.5,4,3,3,18,14,170,67,118,46,4,2,4,16,18,114,55,136,65
H,1.25,6.0,10.0,4,2,4,22,16,154,58,95,39,3,2,5,11,16,118,49,133,55
H,1.55,4.0,6.0,4,3,3,15,10,153,50,106,40,2,2,6,11,18,99,40,126,55
H,1.2,7.0,13.0,6,1,3,20,17,132,55,106,43,4,1,5,18,22,130,47,158,63
H,1.2,6.0,15.0,8,1,1,21,6,127,53,93,33,3,1,6,11,17,123,37,136,56
H,3.6,3.5,2.0,5,2,3,19,19,110,38,131,51,5,2,3,18,13,154,58,115,48
H,3.3,3.5,2.15,4,2,4,10,19,97,36,155,51,4,3,3,18,14,132,46,129,38
H,2.4,3.5,2.88,6,3,1,17,6,126,51,156,41,7,2,1,25,12,159,64,119,37
H,1.53,4.0,6.0,7,1,2,19,11,134,51,79,29,3,2,5,9,16,140,42,130,51
H,1.2,7.0,13.0,7,2,1,27,13,167,63,71,39,2,2,6,11,16,142,38,157,55
H,1.17,7.5,15.0,6,2,2,21,13,158,59,93,43,2,3,5,10,13,106,36,149,49
H,1.33,4.75,10.0,5,1,4,14,11,134,38,132,48,3,1,6,12,18,117,43,157,57
H,2.1,3.4,3.4,7,2,1,13,4,122,42,126,47,3,2,5,8,13,124,41,100,28
H,1.33,4.75,9.0,6,2,2,17,8,187,102,134,79,3,1,6,12,19,136,79,134,82
H,3.3,3.3,2.2,1,3,6,12,21,136,42,151,60,6,1,3,15,12,159,51,129,49
H,2.25,3.25,3.4,2,3,5,11,19,120,48,152,49,3,0,7,14,19,150,42,130,54
H,1.5,4.0,6.5,7,1,2,27,15,178,76,121,40,3,0,7,8,16,116,34,143,43
H,1.36,4.75,9.0,7,2,1,22,14,166,51,135,47,3,4,3,12,14,132,43,121,34
H,1.33,4.75,10.0,6,2,2,25,17,140,54,113,48,1,4,5,8,15,100,33,156,57
H,2.15,3.5,3.3,1,3,6,8,17,91,29,125,47,5,3,2,15,15,127,54,138,39
H,2.38,3.4,2.88,3,3,4,13,15,139,51,134,42,5,2,3,17,13,120,42,101,39
H,1.7,3.89,5.0,5,2,3,16,14,144,50,105,39,3,1,6,9,11,139,49,136,37
H,2.1,3.3,3.75,4,3,3,17,16,114,52,139,51,0,2,8,10,22,135,42,123,56
H,1.5,4.33,6.0,3,4,3,12,10,120,44,124,41,1,2,7,7,23,92,36,158,60
